FID;Shape *;OBJECTID;AREA;PERIMETER;Uthegningi;Gjerda;Shape_Leng;Shape_Area;FLATE;ORIG_FID;latitude;longitude;utm32north;utm32east
0;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950327;11,884544;6649390,582;661100,4079
1;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950168;11,884377;6649372,518;661091,8232
2;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950252;11,884061;6649381,103;661073,7593
3;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950411;11,884228;6649399,167;661082,3441
4;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950327;11,884544;6649390,582;661100,4079
5;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043306;11,702895;6659311,305;650536,1599
6;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043128;11,702845;6659291,403;650534,1823
7;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043153;11,70249;6659293,381;650514,2803
8;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043331;11,70254;6659313,283;650516,2579
9;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043306;11,702895;6659311,305;650536,1599
10;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043606;11,703742;6659346,581;650581,9522
11;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043456;11,703544;6659329,484;650571,575
12;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043555;11,703245;6659339,861;650554,4778
13;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043705;11,703443;6659356,958;650564,855
14;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043606;11,703742;6659346,581;650581,9522
15;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,950097;11,885397;6649367,061;661149,1152
16;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,949935;11,885549;6649349,343;661158,393
17;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,949858;11,885225;6649340,065;661140,6752
18;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,950021;11,885073;6649357,783;661131,3974
19;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,950097;11,885397;6649367,061;661149,1152
20;Point;5;0;0;SSA1;nei;80,000052;400,00052;B;4;59,849002;11,355212;6636940,566;631948,0629
21;Point;5;0;0;SSA1;nei;80,000052;400,00052;B;4;59,848823;11,355175;6636920,613;631946,6953
22;Point;5;0;0;SSA1;nei;80,000052;400,00052;B;4;59,848842;11,35482;6636921,981;631926,7421
23;Point;5;0;0;SSA1;nei;80,000052;400,00052;B;4;59,84902;11,354857;6636941,934;631928,1097
24;Point;5;0;0;SSA1;nei;80,000052;400,00052;B;4;59,849002;11,355212;6636940,566;631948,0629
25;Point;6;0;0;SSA2;ja;80,000035;400,000347;UB;5;59,848782;11,353752;6636913,21;631867,1156
26;Point;6;0;0;SSA2;ja;80,000035;400,000347;UB;5;59,848626;11,353576;6636895,45;631857,9198
27;Point;6;0;0;SSA2;ja;80,000035;400,000347;UB;5;59,848714;11,353265;6636904,645;631840,1592
28;Point;6;0;0;SSA2;ja;80,000035;400,000347;UB;5;59,84887;11,353441;6636922,406;631849,3551
29;Point;6;0;0;SSA2;ja;80,000035;400,000347;UB;5;59,848782;11,353752;6636913,21;631867,1156
30;Point;7;0;0;FK1;ja;79,999878;399,998778;UB;6;59,828855;11,261276;6634514,434;626763,3184
31;Point;7;0;0;FK1;ja;79,999878;399,998778;UB;6;59,828746;11,260992;6634501,762;626747,8449
32;Point;7;0;0;FK1;ja;79,999878;399,998778;UB;6;59,828889;11,260776;6634517,236;626735,1733
33;Point;7;0;0;FK1;ja;79,999878;399,998778;UB;6;59,828998;11,261059;6634529,907;626750,6468
34;Point;7;0;0;FK1;ja;79,999878;399,998778;UB;6;59,828855;11,261276;6634514,434;626763,3184
35;Point;8;0;0;FK2;nei;79,999975;399,999754;B;7;59,827635;11,26283;6634381,531;626855,079
36;Point;8;0;0;FK2;nei;79,999975;399,999754;B;7;59,827562;11,262503;6634372,884;626837,0446
37;Point;8;0;0;FK2;nei;79,999975;399,999754;B;7;59,827727;11,26236;6634390,919;626828,3981
38;Point;8;0;0;FK2;nei;79,999975;399,999754;B;7;59,827799;11,262687;6634399,565;626846,4325
39;Point;8;0;0;FK2;nei;79,999975;399,999754;B;7;59,827635;11,26283;6634381,531;626855,079
40;Point;9;0;0;DH2;nei;80,000023;400,000232;B;8;59,852375;11,428203;6637463,669;636022,2959
41;Point;9;0;0;DH2;nei;80,000023;400,000232;B;8;59,852422;11,427858;6637468,227;636002,8222
42;Point;9;0;0;DH2;nei;80,000023;400,000232;B;8;59,852595;11,427952;6637487,701;636007,3804
43;Point;9;0;0;DH2;nei;80,000023;400,000232;B;8;59,852548;11,428297;6637483,143;636026,8541
44;Point;9;0;0;DH2;nei;80,000023;400,000232;B;8;59,852375;11,428203;6637463,669;636022,2959
45;Point;10;0;0;DH1;ja;80,000102;400,001022;UB;9;59,851015;11,427609;6637311,156;635994,5785
46;Point;10;0;0;DH1;ja;80,000102;400,001022;UB;9;59,850915;11,427313;6637299,384;635978,4095
47;Point;10;0;0;DH1;ja;80,000102;400,001022;UB;9;59,851064;11,427113;6637315,553;635966,6381
48;Point;10;0;0;DH1;ja;80,000102;400,001022;UB;9;59,851164;11,427409;6637327,325;635982,8071
49;Point;10;0;0;DH1;ja;80,000102;400,001022;UB;9;59,851015;11,427609;6637311,156;635994,5785
50;Point;11;0;0;SD2;nei;79,999961;399,999609;B;10;59,958656;11,512003;6649469,274;640266,069
51;Point;11;0;0;SD2;nei;79,999961;399,999609;B;10;59,958477;11,51201;6649449,308;640267,2315
52;Point;11;0;0;SD2;nei;79,999961;399,999609;B;10;59,958473;11,511652;6649448,145;640247,2653
53;Point;11;0;0;SD2;nei;79,999961;399,999609;B;10;59,958653;11,511645;6649468,111;640246,1028
54;Point;11;0;0;SD2;nei;79,999961;399,999609;B;10;59,958656;11,512003;6649469,274;640266,069
55;Point;12;0;0;SD1;ja;79,999989;399,999887;UB;11;59,957946;11,511243;6649388,544;640226,6761
56;Point;12;0;0;SD1;ja;79,999989;399,999887;UB;11;59,957777;11,511122;6649369,479;640220,6334
57;Point;12;0;0;SD1;ja;79,999989;399,999887;UB;11;59,957837;11,510785;6649375,522;640201,5681
58;Point;12;0;0;SD1;ja;79,999989;399,999887;UB;11;59,958006;11,510906;6649394,587;640207,6108
59;Point;12;0;0;SD1;ja;79,999989;399,999887;UB;11;59,957946;11,511243;6649388,544;640226,6761
60;Point;13;0;0;DD1;ja;79,999964;399,999645;UB;12;60,082437;11,489927;6663201,384;638514,7852
61;Point;13;0;0;DD1;ja;79,999964;399,999645;UB;12;60,082301;11,489692;6663185,764;638502,2946
62;Point;13;0;0;DD1;ja;79,999964;399,999645;UB;12;60,082419;11,48942;6663198,255;638486,6746
63;Point;13;0;0;DD1;ja;79,999964;399,999645;UB;12;60,082554;11,489655;6663213,875;638499,1652
64;Point;13;0;0;DD1;ja;79,999964;399,999645;UB;12;60,082437;11,489927;6663201,384;638514,7852
65;Point;14;0;0;DD2;nei;79,999964;399,999645;B;13;60,081816;11,489381;6663131,058;638487,0039
66;Point;14;0;0;DD2;nei;79,999964;399,999645;B;13;60,08168;11,489146;6663115,438;638474,5133
67;Point;14;0;0;DD2;nei;79,999964;399,999645;B;13;60,081797;11,488874;6663127,928;638458,8933
68;Point;14;0;0;DD2;nei;79,999964;399,999645;B;13;60,081933;11,489109;6663143,548;638471,3839
69;Point;14;0;0;DD2;nei;79,999964;399,999645;B;13;60,081816;11,489381;6663131,058;638487,0039
70;Point;15;0;0;OL2;nei;80,000005;400,000047;B;14;60,088746;11,625997;6664196,664;646053,8447
71;Point;15;0;0;OL2;nei;80,000005;400,000047;B;14;60,088656;11,625686;6664185,911;646036,9814
72;Point;15;0;0;OL2;nei;80,000005;400,000047;B;14;60,088811;11,625505;6664202,774;646026,2283
73;Point;15;0;0;OL2;nei;80,000005;400,000047;B;14;60,088901;11,625816;6664213,527;646043,0916
74;Point;15;0;0;OL2;nei;80,000005;400,000047;B;14;60,088746;11,625997;6664196,664;646053,8447
75;Point;16;0;0;OL1;ja;79,999965;399,999648;UB;15;60,088766;11,626893;6664200,815;646103,5587
76;Point;16;0;0;OL1;ja;79,999965;399,999648;UB;15;60,0887;11,626558;6664192,791;646085,2389
77;Point;16;0;0;OL1;ja;79,999965;399,999648;UB;15;60,088868;11,626427;6664211,111;646077,2149
78;Point;16;0;0;OL1;ja;79,999965;399,999648;UB;15;60,088933;11,626762;6664219,135;646095,5347
79;Point;16;0;0;OL1;ja;79,999965;399,999648;UB;15;60,088766;11,626893;6664200,815;646103,5587
80;Point;17;0;0;JCD1;ja;80;400,000002;UB;16;60,122813;11,973037;6668805,91;665176,7381
81;Point;17;0;0;JCD1;ja;80;400,000002;UB;16;60,122872;11,972696;6668811,528;665157,5432
82;Point;17;0;0;JCD1;ja;80;400,000002;UB;16;60,123041;11,972813;6668830,723;665163,1604
83;Point;17;0;0;JCD1;ja;80;400,000002;UB;16;60,122983;11,973153;6668825,105;665182,3553
84;Point;17;0;0;JCD1;ja;80;400,000002;UB;16;60,122813;11,973037;6668805,91;665176,7381
85;Point;18;0;0;JCD2;nei;80,000023;400,000225;B;17;60,123239;11,973208;6668853,665;665184,1403
86;Point;18;0;0;JCD2;nei;80,000023;400,000225;B;17;60,123292;11,972865;6668858,717;665164,7888
87;Point;18;0;0;JCD2;nei;80,000023;400,000225;B;17;60,123463;11,972971;6668878,068;665169,8405
88;Point;18;0;0;JCD2;nei;80,000023;400,000225;B;17;60,12341;11,973315;6668873,017;665189,192
89;Point;18;0;0;JCD2;nei;80,000023;400,000225;B;17;60,123239;11,973208;6668853,665;665184,1403
90;Point;19;0;0;M1.2;nei;80,000016;400,000158;B;18;60,16923;11,59238;6673081,678;643833,0311
91;Point;19;0;0;M1.2;nei;80,000016;400,000158;B;18;60,16926;11,592025;6673084,199;643813,1907
92;Point;19;0;0;M1.2;nei;80,000016;400,000158;B;18;60,169437;11,592084;6673104,039;643815,7119
93;Point;19;0;0;M1.2;nei;80,000016;400,000158;B;18;60,169407;11,592439;6673101,518;643835,5524
94;Point;19;0;0;M1.2;nei;80,000016;400,000158;B;18;60,16923;11,59238;6673081,678;643833,0311
95;Point;20;0;0;OIA1;nei;79,999924;399,999245;B;19;60,194164;11,941839;6676669,36;663090,2474
96;Point;20;0;0;OIA1;nei;79,999924;399,999245;B;19;60,194151;11,94148;6676666,986;663070,3888
97;Point;20;0;0;OIA1;nei;79,999924;399,999245;B;19;60,19433;11,941453;6676686,845;663068,0153
98;Point;20;0;0;OIA1;nei;79,999924;399,999245;B;19;60,194343;11,941812;6676689,218;663087,874
99;Point;20;0;0;OIA1;nei;79,999924;399,999245;B;19;60,194164;11,941839;6676669,36;663090,2474
100;Point;21;0;0;HP2;ja;80,000097;400,000972;UB;20;60,095672;12,156935;6666259,647;675533,1918
101;Point;21;0;0;HP2;ja;80,000097;400,000972;UB;20;60,095585;12,15662;6666249,163;675516,1601
102;Point;21;0;0;HP2;ja;80,000097;400,000972;UB;20;60,095743;12,156447;6666266,195;675505,6756
103;Point;21;0;0;HP2;ja;80,000097;400,000972;UB;20;60,095829;12,156762;6666276,679;675522,7073
104;Point;21;0;0;HP2;ja;80,000097;400,000972;UB;20;60,095672;12,156935;6666259,647;675533,1918
105;Point;22;0;0;HP1;nei;79,999818;399,998178;B;21;60,095102;12,157304;6666197,15;675556,7424
106;Point;22;0;0;HP1;nei;79,999818;399,998178;B;21;60,095012;12,156993;6666186,367;675539,8987
107;Point;22;0;0;HP1;nei;79,999818;399,998178;B;21;60,095168;12,156814;6666203,211;675529,1151
108;Point;22;0;0;HP1;nei;79,999818;399,998178;B;21;60,095257;12,157125;6666213,994;675545,9589
109;Point;22;0;0;HP1;nei;79,999818;399,998178;B;21;60,095102;12,157304;6666197,15;675556,7424
110;Point;23;0;0;OIA2;ja;79,999995;399,999951;UB;22;60,194685;11,940837;6676724,856;663032,1234
111;Point;23;0;0;OIA2;ja;79,999995;399,999951;UB;22;60,194664;11,940479;6676721,671;663012,3787
112;Point;23;0;0;OIA2;ja;79,999995;399,999951;UB;22;60,194843;11,940437;6676741,415;663009,1933
113;Point;23;0;0;OIA2;ja;79,999995;399,999951;UB;22;60,194863;11,940795;6676744,601;663028,938
114;Point;23;0;0;OIA2;ja;79,999995;399,999951;UB;22;60,194685;11,940837;6676724,856;663032,1234
115;Point;24;0;0;M2.2;nei;80,00013;400,001302;B;23;60,124827;11,753228;6668500,672;652960,1092
116;Point;24;0;0;M2.2;nei;80,00013;400,001302;B;23;60,124923;11,752924;6668510,662;652942,783
117;Point;24;0;0;M2.2;nei;80,00013;400,001302;B;23;60,125075;11,753116;6668527,988;652952,7732
118;Point;24;0;0;M2.2;nei;80,00013;400,001302;B;23;60,124979;11,75342;6668517,998;652970,0994
119;Point;24;0;0;M2.2;nei;80,00013;400,001302;B;23;60,124827;11,753228;6668500,672;652960,1092
120;Point;25;0;0;M3.2;nei;80,000007;400,000072;B;24;60,109787;11,824977;6666995,034;657016,3006
121;Point;25;0;0;M3.2;nei;80,000007;400,000072;B;24;60,109961;11,824884;6667014,108;657010,2863
122;Point;25;0;0;M3.2;nei;80,000007;400,000072;B;24;60,110007;11,825231;6667020,122;657029,3606
123;Point;25;0;0;M3.2;nei;80,000007;400,000072;B;24;60,109834;11,825325;6667001,048;657035,3749
124;Point;25;0;0;M3.2;nei;80,000007;400,000072;B;24;60,109787;11,824977;6666995,034;657016,3006
125;Point;26;0;0;M3.1;ja;160,000135;1600,002701;UB;25;60,109648;11,825239;6666980,189;657031,4971
126;Point;26;0;0;M3.1;ja;160,000135;1600,002701;UB;25;60,109374;11,825702;6666950,724;657058,5491
127;Point;26;0;0;M3.1;ja;160,000135;1600,002701;UB;25;60,109142;11,825152;6666923,672;657029,084
128;Point;26;0;0;M3.1;ja;160,000135;1600,002701;UB;25;60,109417;11,824689;6666953,137;657002,032
129;Point;26;0;0;M3.1;ja;160,000135;1600,002701;UB;25;60,109648;11,825239;6666980,189;657031,4971
130;Point;27;0;0;M2.1;ja;160,000075;1600,001496;UB;26;60,124911;11,752275;6668507,781;652906,8213
131;Point;27;0;0;M2.1;ja;160,000075;1600,001496;UB;26;60,124736;11,752903;6668489,727;652942,5151
132;Point;27;0;0;M2.1;ja;160,000075;1600,001496;UB;26;60,124422;11,752552;6668454,033;652924,4609
133;Point;27;0;0;M2.1;ja;160,000075;1600,001496;UB;26;60,124597;11,751924;6668472,088;652888,7671
134;Point;27;0;0;M2.1;ja;160,000075;1600,001496;UB;26;60,124911;11,752275;6668507,781;652906,8213
135;Point;28;0;0;M1.1;ja;160,000003;1600,000056;UB;27;60,169918;11,592862;6673159,337;643856,7423
136;Point;28;0;0;M1.1;ja;160,000003;1600,000056;UB;27;60,16972;11,593463;6673138,612;643890,9548
137;Point;28;0;0;M1.1;ja;160,000003;1600,000056;UB;27;60,169421;11,593066;6673104,4;643870,2303
138;Point;28;0;0;M1.1;ja;160,000003;1600,000056;UB;27;60,169619;11,592464;6673125,124;643836,0178
139;Point;28;0;0;M1.1;ja;160,000003;1600,000056;UB;27;60,169918;11,592862;6673159,337;643856,7423
140;Point;29;0;0;TH1;nei;79,999865;399,998654;B;28;59,85124;11,802039;6638164,197;656961,3808
141;Point;29;0;0;TH1;nei;79,999865;399,998654;B;28;59,85106;11,802033;6638144,204;656961,901
142;Point;29;0;0;TH1;nei;79,999865;399,998654;B;28;59,851063;11,801677;6638143,684;656941,9078
143;Point;29;0;0;TH1;nei;79,999865;399,998654;B;28;59,851243;11,801682;6638163,677;656941,3876
144;Point;29;0;0;TH1;nei;79,999865;399,998654;B;28;59,85124;11,802039;6638164,197;656961,3808
145;Point;30;0;0;TH2;ja;80,00009;400,000901;UB;29;59,85064;11,80194;6638097,136;656958,6631
146;Point;30;0;0;TH2;ja;80,00009;400,000901;UB;29;59,850464;11,801866;6638077,416;656955,3284
147;Point;30;0;0;TH2;ja;80,00009;400,000901;UB;29;59,850501;11,801517;6638080,751;656935,6083
148;Point;30;0;0;TH2;ja;80,00009;400,000901;UB;29;59,850677;11,801591;6638100,471;656938,943
149;Point;30;0;0;TH2;ja;80,00009;400,000901;UB;29;59,85064;11,80194;6638097,136;656958,6631
150;Point;31;0;0;SK1;ja;79,99992;399,999202;UB;30;59,917119;11,310497;6644435,27;629178,9833
151;Point;31;0;0;SK1;ja;79,99992;399,999202;UB;30;59,9172;11,310178;6644443,592;629160,797
152;Point;31;0;0;SK1;ja;79,99992;399,999202;UB;30;59,91736;11,310338;6644461,778;629169,119
153;Point;31;0;0;SK1;ja;79,99992;399,999202;UB;30;59,91728;11,310657;6644453,456;629187,3054
154;Point;31;0;0;SK1;ja;79,99992;399,999202;UB;30;59,917119;11,310497;6644435,27;629178,9833
155;Point;32;0;0;SK2;nei;80,000076;400,000763;B;31;59,91785;11,310715;6644517,006;629188,3158
156;Point;32;0;0;SK2;nei;80,000076;400,000763;B;31;59,917798;11,310373;6644510,55;629169,3863
157;Point;32;0;0;SK2;nei;80,000076;400,000763;B;31;59,91797;11,310269;6644529,48;629162,9306
158;Point;32;0;0;SK2;nei;80,000076;400,000763;B;31;59,918022;11,310612;6644535,936;629181,8601
159;Point;32;0;0;SK2;nei;80,000076;400,000763;B;31;59,91785;11,310715;6644517,006;629188,3158
